City_norm,lon,lat
Weilburg,8.2667,50.4833
Oldenburg,8.2146,53.1435
Usingen,8.5333,50.3333
Leichlingen,7.0167,51.1000
Veldenz,7.0000,49.8833
Leipzig,12.3731,51.3397
Korschenbroich,6.5167,51.1833
Teublitz,12.0833,49.2000
Berlin,13.4050,52.5200
Limbach-Oberfrohna,12.7667,50.8667
Leonberg,9.0167,48.8000
Bayreuth,11.5833,49.9500
Parchim,11.8500,53.4333
Essing,11.7167,48.9500
Rosenheim,12.1333,47.8500
Nesselwang,10.5000,47.6167
Nuenchritz,13.4167,51.2667
Obergriesbach,11.1333,48.3500
Rastatt,8.2000,48.8500
Grossrosseln,6.8333,49.2000
Neuhemsbach,7.8833,49.5167
Heidenheim,10.1500,48.6833
Heinsberg,6.1000,51.0667
Darmstadt,8.6500,49.8667
Warburg,9.1667,51.5000
Stade,9.4667,53.6000
Grossbreitenbach,10.9833,50.6333
Cloppenburg,8.0333,52.8500
Hannover,9.7320,52.3759
Schwanewede,8.6167,53.2333
Schwandorf,12.1000,49.3167
Hueckelhoven,6.2333,51.0500
Pleinfeld,10.9833,49.1000
Hettenshausen,11.4667,48.5000
Fulda,9.6833,50.5500
Muenster,7.6286,51.9607
Wermelskirchen,7.2167,51.1667
Trossingen,8.6333,48.0833
Alsfeld,9.2667,50.7500
Trier,6.6414,49.7499
Altenkirchen,7.6500,50.6833
Schkeuditz,12.3000,51.3833
Tuttlingen,8.5333,47.9833
Ludwigsburg,9.1833,48.9000
Detmold,8.8833,51.9500
Slubice,14.5667,52.3500
Pfalzgrafenweiler,8.5500,48.5167
Reichenau,9.0667,47.6833
Kirchheim,9.4500,48.6500
Blankenfelde,13.4167,52.3333
Guestrow,12.1833,53.8000
Coswig,12.4500,51.1333
Lippstadt,8.3500,51.6667
Waechtersbach,9.3000,50.2833
Konstanz,9.1833,47.6667
Aichach,11.1333,48.4667
Sandersdorf,12.3000,51.6167
Luckenwalde,13.1667,52.0833
Inchenhofen,11.1500,48.5000
Seevetal,10.0167,53.3833
Worms,8.3667,49.6333
Appen,9.7167,53.7000
Giessen,8.6667,50.5833
Engen,8.7667,47.8500
Kirchlinteln,9.3167,52.9667
Hagen,7.4717,51.3671
Ottobrunn,11.6667,48.0667
Koblenz,7.5886,50.3569
Reutlingen,9.2160,48.4910
Kusel,7.4000,49.5500
Massenbachhausen,9.0667,49.1667
Aschaffenburg,9.1500,49.9667
Pforzheim,8.7000,48.9000
Buehl,8.1333,48.7000
Karlsruhe,8.4037,49.0069
Hildesheim,9.9511,52.1548
Frankfurt,8.6821,50.1109
Heidelberg,8.6750,49.3988
Bad Saulgau,9.5000,48.0167
Cham,12.6667,49.2167
Lenningen,9.4667,48.5833
Heilbronn,9.2167,49.1333
Kehl,7.8167,48.5667
Olpe,7.8500,51.0333
Arnsberg,8.0833,51.4000
Bergisch Gladbach,7.1000,50.9833
Diez,8.0167,50.3667
Lengerich,7.8667,52.1833
Friesoythe,7.8667,53.0167
Lingen,7.3167,52.5167
Braunschweig,10.5268,52.2689
Garrel,8.0167,52.9167
Rostock,12.0991,54.0924
Herbrechtingen,10.1667,48.6333
Ulm,9.9934,48.4011
Markgroeningen,9.0833,48.9000
Dinslaken,6.7333,51.5667
Kraichtal,8.7333,49.1333
Friedberg,8.7667,50.3333
Ilmenau,10.9167,50.6833
Abensberg,11.8500,48.8167
Weinaehr,7.7667,50.3333
Fritzlar,9.2833,51.1333
Iserlohn,7.7000,51.3833
Neunkirchen-Seelscheid,7.3167,50.8500
Jena,11.5892,50.9271
Tittmoning,12.7500,48.0667
Haimhausen,11.5667,48.3167
Weisswasser,14.6333,51.5000
Halle,11.9730,51.4968
Triberg,8.2333,48.1333
Schwaebisch Hall,9.7333,49.1167
Muelheim an der Ruhr,6.8833,51.4333
Selm,7.4833,51.6833
Amberg,11.8500,49.4500
Kaltenkirchen,9.9167,53.8333
Speyer,8.4333,49.3167
Neuenkirchen,7.4500,52.2500
Eystrup,9.2333,52.7833
Kirn,7.4500,49.8000
Altoetting,12.6833,48.2333
Bad Emstal,9.2667,51.2667
Mandelbachtal,7.1667,49.2333
Bremen,8.8017,53.0793
Bergheim,6.6500,50.9500
Mainz-Kostheim,8.3000,50.0167
Niedenstein,9.3167,51.2333
Hilchenbach,8.1000,50.9833
Eggenstein-Leopoldshafen,8.4000,49.0667
Floss,12.3333,49.7167
Rosengarten,9.9333,53.3833
Bingen,7.9000,49.9667
Wismar,11.4667,53.8833
Ahaus,7.0167,52.0833
Doerverden,9.2333,52.8333
Rodewisch,12.4000,50.5333
Schrozberg,9.9833,49.3500
Freiburg,7.8522,47.9990
Teterow,12.5833,53.7667
Gera,12.0833,50.8800
Neuss,6.6167,51.2000
Duisburg,6.7623,51.4344
Delitzsch,12.3333,51.5333
Koenigstein im Taunus,8.4667,50.1833
Hennef,7.2833,50.7833
Kemnath,11.9000,49.8500
Neukirchen-Vluyn,6.5333,51.4500
Wolnzach,11.6167,48.6000
Erkrath,6.9167,51.2333
Hofkirchen,13.0833,48.7167
Oranienburg,13.2333,52.7667
Zerbst,12.0833,51.9667
Grafenau,13.4000,48.8500
Albstadt,9.0333,48.2167
Espenau,9.4500,51.3667
Grevenbroich,6.5833,51.0833
Forchheim,11.0667,49.7167
Potsdam,13.0645,52.3906
Oberhausen,6.8500,51.4667
Mannheim,8.4660,49.4875
Donauwoerth,10.7833,48.7167
Illingen,7.0333,49.3833
Norderney,7.1500,53.7000
Muenchhausen,8.8000,50.9000
Oberrot,9.7000,49.0333
Randersacker,9.9667,49.7500
Pfedelbach,9.5000,49.1833
Saarbruecken,6.9969,49.2402
Marsberg,8.8500,51.4500
Villingen-Schwenningen,8.4500,48.0667
Werlte,7.6833,52.8500
Troisdorf,7.1667,50.8167
Nordhausen,10.8000,51.5000
Rathenow,12.3333,52.6000
Dormagen,6.8333,51.1000
Essen,7.0123,51.4556
Buchholz,9.8667,53.3167
Voerde,6.6833,51.6000
Forst,14.6333,51.7333
Weingarten,9.6333,47.8000
Wolfenbuettel,10.5333,52.1667
Weiterstadt,8.5833,49.9000
Loeningen,7.7667,52.7333
Sand am Main,10.5667,49.9833
Homburg,7.3333,49.3167
Bad Abbach,12.0500,48.9333
Lotte,7.9167,52.2833
Buende,8.5833,52.2000
Birkenfeld,7.1667,49.6500
Landshut,12.1667,48.5333
Boeblingen,9.0167,48.6833
Sigmarszell,9.7833,47.5833
Moemlingen,9.1167,49.8667
Dettelbach,10.1667,49.8000
Nienburg/Weser,9.2333,52.6500
Ostbevern,7.8500,52.0333
Saarlouis,6.7500,49.3167
Litzendorf,11.0167,49.9000
Froendenberg,7.7667,51.4833
Bad Soden am Taunus,8.5000,50.1500
Lauf,11.2833,49.5167
Eislingen,9.7000,48.6833
Kalkar,6.2833,51.7333
Binzen,7.6333,47.6333
Buechen,10.6333,53.4833
Pfinztal,8.5333,48.9667
Muehlhausen,10.4500,51.2167
